SID,sameDiff,Prime,Target,prime_file,target_file,Congruent,PIT_corr,PIT_rt,WM_corr,WM_rt,group,block,Trial,Load
1,1,nonpain,pain,images/Neutral_hand_01.jpg,images/Pain_hand_02.jpg,0,1,1.1025,1,0.7965,A,H,1,High
1,1,nonpain,nonpain,images/Neutral_foot_01.jpg,images/Neutral_foot_02.jpg,1,1,0.8303,0,1.4357,A,H,2,High
1,1,nonpain,pain,images/Neutral_foot_01.jpg,images/Pain_foot_02.jpg,0,1,0.9175,1,0.6502,A,H,3,High
1,0,pain,pain,images/Pain_foot_01.jpg,images/Pain_foot_02.jpg,1,1,1.2824,0,0.804,A,H,4,High
1,0,nonpain,nonpain,images/Neutral_hand_01.jpg,images/Neutral_hand_02.jpg,1,1,1.0521,1,1.3269,A,H,5,High
1,0,pain,pain,images/Pain_hand_03.jpg,images/Pain_hand_04.jpg,1,1,0.6937,1,1.1669,A,H,6,High
1,0,pain,pain,images/Pain_foot_03.jpg,images/Pain_foot_04.jpg,1,1,0.7295,0,1.3336,A,H,7,High
1,1,pain,pain,images/Pain_foot_03.jpg,images/Pain_foot_04.jpg,1,1,0.6164,0,0.8008,A,H,8,High
1,0,pain,pain,images/Pain_hand_01.jpg,images/Pain_hand_02.jpg,1,1,0.8212,1,1.0674,A,H,9,High
1,1,nonpain,nonpain,images/Neutral_foot_03.jpg,images/Neutral_foot_04.jpg,1,1,0.7507,0,1.1078,A,H,10,High
1,0,nonpain,nonpain,images/Neutral_foot_01.jpg,images/Neutral_foot_02.jpg,1,1,1.1257,1,0.8241,A,H,11,High
1,1,pain,pain,images/Pain_hand_01.jpg,images/Pain_hand_02.jpg,1,0,NA,0,1.1835,A,H,12,High
1,0,nonpain,pain,images/Neutral_foot_01.jpg,images/Pain_foot_02.jpg,0,1,0.8814,1,0.7247,A,H,13,High
1,0,nonpain,pain,images/Neutral_hand_03.jpg,images/Pain_hand_04.jpg,0,1,1.0846,1,1.3375,A,H,14,High
1,0,nonpain,pain,images/Neutral_foot_03.jpg,images/Pain_foot_04.jpg,0,1,1.197,1,0.6677,A,H,15,High
1,1,pain,nonpain,images/Pain_hand_01.jpg,images/Neutral_hand_02.jpg,0,0,0.9303,0,0.9142,A,H,16,High
1,0,nonpain,nonpain,images/Neutral_hand_03.jpg,images/Neutral_hand_04.jpg,1,1,1.6869,1,0.7833,A,H,17,High
1,1,pain,pain,images/Pain_foot_01.jpg,images/Pain_foot_02.jpg,1,1,1.7907,0,1.3898,A,H,18,High
1,1,nonpain,nonpain,images/Neutral_hand_03.jpg,images/Neutral_hand_04.jpg,1,1,1.6221,1,0.7488,A,H,19,High
1,0,pain,nonpain,images/Pain_foot_03.jpg,images/Neutral_foot_04.jpg,0,0,0.7433,0,1.1215,A,H,20,High
1,0,nonpain,pain,images/Neutral_hand_01.jpg,images/Pain_hand_02.jpg,0,1,0.9696,1,0.7833,A,H,21,High
1,1,nonpain,pain,images/Neutral_hand_03.jpg,images/Pain_hand_04.jpg,0,0,NA,1,1.1787,A,H,22,High
1,0,pain,nonpain,images/Pain_foot_01.jpg,images/Neutral_foot_02.jpg,0,0,1.7523,1,2.2493,A,H,23,High
1,1,nonpain,pain,images/Neutral_foot_03.jpg,images/Pain_foot_04.jpg,0,0,NA,0,2.1992,A,H,24,High
1,0,pain,nonpain,images/Pain_hand_03.jpg,images/Neutral_hand_04.jpg,0,0,1.5036,1,1.3843,A,H,25,High
1,1,nonpain,nonpain,images/Neutral_hand_01.jpg,images/Neutral_hand_02.jpg,1,0,1.1399,0,0.926,A,H,26,High
1,0,nonpain,nonpain,images/Neutral_foot_03.jpg,images/Neutral_foot_04.jpg,1,1,0.8829,1,1.177,A,H,27,High
1,1,pain,nonpain,images/Pain_foot_03.jpg,images/Neutral_foot_04.jpg,0,0,0.9462,0,1.4622,A,H,28,High
1,1,pain,nonpain,images/Pain_foot_01.jpg,images/Neutral_foot_02.jpg,0,1,1.5887,0,1.1892,A,H,29,High
1,0,pain,nonpain,images/Pain_hand_01.jpg,images/Neutral_hand_02.jpg,0,0,NA,1,1.8423,A,H,30,High
1,1,pain,pain,images/Pain_hand_03.jpg,images/Pain_hand_04.jpg,1,1,1.1887,1,1.1153,A,H,31,High
